,popularity,iscollect,Drama,Adventure,Fantasy,Western,Thriller,Animation,Action,Mystery,Foreign,Science Fiction,Documentary,Family,director_success,producer_success,actor1_success,actor2_success,budget
0,3.851534,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1,3.559789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11.385092093460344
2,8.085194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,16.357622500123036,18.19211837482836,0.0
3,8.596012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,15.732433170146335
4,3.21768,0,0,0,0,0,0,0,0,0,0,0,0,0,13.518314032983898,13.122363377404328,15.232030489277806,0.0,14.508657738524219
5,8.67935,0,0,0,0,0,0,0,0,0,0,0,0,0,15.894081595865615,0.0,0.0,0.0,0.0
6,4.898882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7,7.023414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17.216707939626428
8,7.829737,0,0,0,0,0,0,0,0,0,0,0,0,0,16.113096475879615,0.0,18.923485202008916,17.68729410749692,16.61887093887081
9,17.547693,1,0,0,0,0,0,0,0,0,0,0,0,0,19.7385732187406,0.0,17.464503699462746,0.0,18.31532022829454
10,0.262437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,16.654147579022265,0.0,14.508657738524219
11,4.220318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
12,10.973482,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,15.424948470398375
13,1.178723,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.2958368660043287,0.0,0.0,13.592367006650065
14,7.973126,0,0,0,0,0,0,0,0,0,0,0,0,0,15.181411887533688,0.0,6.767343125265392,0.0,16.811242831518264
15,2.114833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.630813038796703,17.026092443005954,0.0
16,11.967652,1,0,0,0,0,0,0,0,0,0,0,0,0,17.466298894691338,0.0,16.147421513450148,0.0,17.399029496420383
17,9.730176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,12.712335877396221,19.17214924164027,18.420680743952367
18,5.632325,0,0,0,0,0,0,0,0,0,0,0,0,0,16.811242831518268,0.0,19.96963377480591,18.322124195390558,0.0
